(27795, 'pending', 2024, 3, 31, 23, 'Danforth Village')
(3855, 'pending', 2024, 1, 27, 11, 'High Park')
(2303, 'not found', 2024, 3, 27, 10, 'St. Lawrence Market')
(226, 'not found', 2024, 5, 27, 9, 'Chinatown')
(8133, 'not found', 2024, 1, 27, 9, 'High Park')
(29973, 'found', 2024, 4, 27, 9, 'The Beaches')
(13119, 'found', 2024, 2, 27, 7, 'Cabbagetown')
(46538, 'not found', 2024, 5, 27, 6, 'Roncesvalles')
(42347, 'found', 2024, 4, 27, 6, 'Cabbagetown')
(46252, 'found', 2024, 2, 27, 5, 'High Park')
(34189, 'found', 2024, 3, 27, 4, 'Yorkville')
(42002, 'found', 2024, 5, 27, 4, 'Danforth Village')
(24807, 'not found', 2024, 2, 27, 2, 'Parkdale')
(11104, 'not found', 2024, 1, 27, 2, 'High Park')
(17389, 'found', 2024, 3, 27, 1, 'Chinatown')
(2970, 'found', 2024, 3, 27, 0, 'Leslieville')
(24217, 'found', 2024, 2, 27, 0, 'Rosedale')
(11137, 'not found', 2024, 2, 26, 23, 'The Beaches')
(30972, 'found', 2024, 2, 26, 22, 'Parkdale')
(36025, 'not found', 2024, 5, 26, 21, 'The Annex')
(40171, 'found', 2024, 5, 26, 20, 'High Park')
(32491, 'not found', 2024, 1, 26, 20, 'St. Lawrence Market')
(48373, 'not found', 2024, 3, 26, 19, 'High Park')
(27099, 'found', 2024, 5, 26, 19, 'Queen West')
(2463, 'found', 2024, 4, 26, 18, 'Distillery District')
(7921, 'found', 2024, 1, 26, 17, 'Yorkville')
(46775, 'found', 2024, 1, 26, 17, 'Leslieville')
(5752, 'found', 2024, 2, 26, 16, 'St. Lawrence Market')
(1606, 'found', 2024, 1, 26, 15, 'Bloor West Village')
(42404, 'found', 2024, 3, 26, 15, 'Rosedale')
(22965, 'not found', 2024, 2, 26, 15, 'Parkdale')
(9842, 'not found', 2024, 5, 26, 11, 'Church and Wellesley')
(20883, 'found', 2024, 4, 26, 10, 'Bloor West Village')
(45123, 'not found', 2024, 3, 26, 9, 'High Park')
(30221, 'found', 2024, 2, 26, 8, 'Liberty Village')
(39318, 'pending', 2024, 5, 26, 7, 'Bloor West Village')
(47781, 'found', 2024, 2, 26, 6, 'Yorkville')
(29156, 'not found', 2024, 2, 26, 5, 'Church and Wellesley')
(13340, 'found', 2024, 1, 26, 5, 'Distillery District')
(33861, 'found', 2024, 2, 26, 3, 'High Park')
(35324, 'pending', 2024, 5, 26, 2, 'The Beaches')
(937, 'found', 2024, 3, 26, 2, 'Leslieville')
(3015, 'found', 2024, 4, 26, 2, 'Kensington Market')
(2821, 'not found', 2024, 2, 26, 0, 'Cabbagetown')
(32597, 'not found', 2024, 4, 26, 0, 'Cabbagetown')
(41006, 'found', 2024, 5, 25, 23, 'Parkdale')
(20069, 'not found', 2024, 1, 25, 23, 'Liberty Village')
(6536, 'found', 2024, 1, 25, 22, 'Distillery District')
(22159, 'pending', 2024, 3, 25, 19, 'Leslieville')
(38095, 'pending', 2024, 5, 25, 16, 'Rosedale')
(15905, 'pending', 2024, 1, 25, 15, 'Chinatown')
(18629, 'found', 2024, 1, 25, 13, 'Bloor West Village')
(12257, 'not found', 2024, 5, 25, 12, 'St. Lawrence Market')
(9316, 'not found', 2024, 2, 25, 11, 'Liberty Village')
(47895, 'found', 2024, 1, 25, 11, 'Liberty Village')
(32242, 'pending', 2024, 5, 25, 8, 'Parkdale')
(36980, 'pending', 2024, 3, 25, 7, 'Leslieville')
(49121, 'not found', 2024, 2, 25, 4, 'Kensington Market')
(21060, 'found', 2024, 4, 25, 4, 'Chinatown')
(6586, 'found', 2024, 5, 25, 2, 'Bloor West Village')
(38404, 'found', 2024, 2, 25, 2, 'Leslieville')
(10343, 'pending', 2024, 5, 25, 0, 'Roncesvalles')
(8532, 'not found', 2024, 5, 24, 22, 'Bloor West Village')
(11646, 'not found', 2024, 4, 24, 20, 'The Beaches')
(13422, 'pending', 2024, 2, 24, 20, 'Church and Wellesley')
(12457, 'not found', 2024, 1, 24, 19, 'Distillery District')
(39354, 'found', 2024, 3, 24, 17, 'Kensington Market')
(3557, 'not found', 2024, 2, 24, 16, 'Bloor West Village')
(17502, 'not found', 2024, 1, 24, 15, 'The Beaches')
(21171, 'not found', 2024, 4, 24, 14, 'Danforth Village')
(5581, 'not found', 2024, 1, 24, 12, 'Scarborough Bluffs')
(37990, 'not found', 2024, 2, 24, 12, 'St. Lawrence Market')
(1750, 'not found', 2024, 3, 24, 11, 'The Beaches')
(4837, 'found', 2024, 4, 24, 10, 'Scarborough Bluffs')
(21162, 'not found', 2024, 5, 24, 10, 'Parkdale')
(20634, 'found', 2024, 5, 24, 8, 'Scarborough Bluffs')
(8518, 'found', 2024, 4, 24, 8, 'St. Lawrence Market')
(39375, 'found', 2024, 1, 24, 8, 'Chinatown')
(25597, 'not found', 2024, 2, 24, 5, 'Scarborough Bluffs')
(41244, 'found', 2024, 4, 24, 4, 'Yorkville')
(45099, 'found', 2024, 4, 24, 4, 'Cabbagetown')
(41904, 'found', 2024, 4, 24, 4, 'Liberty Village')
(1960, 'found', 2024, 2, 24, 2, 'Distillery District')
(20509, 'found', 2024, 3, 24, 1, 'Danforth Village')
(12836, 'found', 2024, 3, 24, 1, 'Roncesvalles')
(40276, 'found', 2024, 1, 24, 0, 'High Park')
(20548, 'found', 2024, 1, 23, 23, 'Distillery District')
(43860, 'found', 2024, 2, 23, 22, 'Yorkville')
(24864, 'not found', 2024, 5, 23, 22, 'Cabbagetown')
(42802, 'found', 2024, 5, 23, 19, 'Scarborough Bluffs')
(39572, 'pending', 2024, 1, 23, 19, 'Yorkville')
(41783, 'found', 2024, 3, 23, 18, 'Leslieville')
(35552, 'found', 2024, 5, 23, 17, 'Chinatown')
(32014, 'pending', 2024, 4, 23, 16, 'Leslieville')
(6781, 'not found', 2024, 3, 23, 16, 'Roncesvalles')
(4262, 'not found', 2024, 5, 23, 16, 'The Annex')
(47334, 'found', 2024, 5, 23, 15, 'Danforth Village')
(29675, 'found', 2024, 2, 23, 14, 'Scarborough Bluffs')
(13592, 'found', 2024, 4, 23, 12, 'The Beaches')
(19223, 'pending', 2024, 4, 23, 11, 'Liberty Village')
(19888, 'pending', 2024, 5, 23, 10, 'Cabbagetown')
(14065, 'not found', 2024, 3, 23, 8, 'St. Lawrence Market')
(49628, 'found', 2024, 5, 23, 6, 'Chinatown')
(35097, 'found', 2024, 5, 23, 4, 'Cabbagetown')
(27972, 'not found', 2024, 1, 23, 2, 'Parkdale')
(28499, 'found', 2024, 2, 23, 2, 'The Beaches')
(3981, 'found', 2024, 5, 23, 2, 'Scarborough Bluffs')
(10394, 'not found', 2024, 5, 23, 1, 'Little Italy')
(44081, 'found', 2024, 3, 23, 1, 'Leslieville')
(48377, 'found', 2024, 2, 22, 21, 'Church and Wellesley')
(48700, 'found', 2024, 1, 22, 21, 'Danforth Village')
(21713, 'not found', 2024, 5, 22, 21, 'Chinatown')
(33206, 'found', 2024, 1, 22, 20, 'Chinatown')
(45321, 'pending', 2024, 3, 22, 19, 'High Park')
(24445, 'pending', 2024, 4, 22, 17, 'Leslieville')
(14718, 'not found', 2024, 4, 22, 16, 'Parkdale')
(4329, 'found', 2024, 5, 22, 14, 'The Beaches')
(41188, 'found', 2024, 2, 22, 13, 'Roncesvalles')
(2457, 'found', 2024, 3, 22, 12, 'Little Italy')
(2408, 'found', 2024, 4, 22, 11, 'Liberty Village')
(12592, 'found', 2024, 1, 22, 11, 'Cabbagetown')
(6454, 'pending', 2024, 2, 22, 10, 'Chinatown')
(9789, 'not found', 2024, 3, 22, 9, 'Distillery District')
(14142, 'not found', 2024, 4, 22, 8, 'Bloor West Village')
(35066, 'found', 2024, 4, 22, 7, 'Yorkville')
(35628, 'not found', 2024, 5, 22, 7, 'Yorkville')
(18825, 'not found', 2024, 1, 22, 6, 'High Park')
(18498, 'found', 2024, 3, 22, 5, 'Church and Wellesley')
(41524, 'pending', 2024, 5, 22, 5, 'Danforth Village')
(41212, 'not found', 2024, 2, 22, 3, 'Bloor West Village')
(75, 'not found', 2024, 1, 22, 2, 'Rosedale')
(8079, 'pending', 2024, 1, 22, 2, 'Church and Wellesley')
(3585, 'not found', 2024, 3, 22, 1, 'Roncesvalles')
(8393, 'found', 2024, 2, 22, 0, 'Chinatown')
(45205, 'found', 2024, 5, 22, 0, 'Church and Wellesley')
(31530, 'pending', 2024, 1, 21, 23, 'Chinatown')
(6403, 'pending', 2024, 4, 21, 23, 'The Annex')
(5622, 'pending', 2024, 5, 21, 23, 'Cabbagetown')
(442, 'pending', 2024, 3, 21, 22, 'Little Italy')
(3595, 'not found', 2024, 2, 21, 21, 'Cabbagetown')
(44603, 'not found', 2024, 5, 21, 21, 'Yorkville')
(5975, 'not found', 2024, 2, 21, 20, 'The Beaches')
(18856, 'pending', 2024, 6, 21, 20, 'Kensington Market')
(23942, 'found', 2024, 2, 21, 18, 'Rosedale')
(25205, 'found', 2024, 1, 21, 18, 'Little Italy')
(33114, 'found', 2024, 2, 21, 18, 'Bloor West Village')
(21992, 'not found', 2024, 6, 21, 17, 'High Park')
(35607, 'not found', 2024, 2, 21, 16, 'Chinatown')
(10252, 'found', 2024, 5, 21, 15, 'High Park')
(24879, 'not found', 2024, 1, 21, 13, 'Bloor West Village')
(1412, 'found', 2024, 6, 21, 12, 'Leslieville')
(8187, 'found', 2024, 4, 21, 11, 'Church and Wellesley')
(16247, 'not found', 2024, 6, 21, 11, 'Liberty Village')
(5177, 'found', 2024, 3, 21, 10, 'The Annex')
(14940, 'found', 2024, 2, 21, 10, 'St. Lawrence Market')
(18360, 'found', 2024, 6, 21, 9, 'Yorkville')
(4030, 'found', 2024, 4, 21, 9, 'Roncesvalles')
(5263, 'found', 2024, 5, 21, 9, 'Cabbagetown')
(31033, 'found', 2024, 5, 21, 9, 'Church and Wellesley')
(17023, 'found', 2024, 4, 21, 8, 'St. Lawrence Market')
(11925, 'not found', 2024, 1, 21, 8, 'Kensington Market')
(12258, 'found', 2024, 2, 21, 8, 'St. Lawrence Market')
(36075, 'not found', 2024, 2, 21, 7, 'The Beaches')
(49855, 'found', 2024, 4, 21, 6, 'High Park')
(2300, 'pending', 2024, 1, 21, 6, 'The Annex')
(2322, 'found', 2024, 4, 21, 5, 'Distillery District')
(27385, 'not found', 2024, 3, 21, 5, 'Distillery District')
(36088, 'found', 2024, 2, 21, 4, 'Kensington Market')
(10336, 'found', 2024, 2, 21, 4, 'Church and Wellesley')
(4141, 'found', 2024, 3, 21, 4, 'Distillery District')
(8150, 'found', 2024, 6, 21, 2, 'High Park')
(17096, 'pending', 2024, 4, 21, 2, 'Parkdale')
(31615, 'not found', 2024, 1, 21, 2, 'Roncesvalles')
(44669, 'pending', 2024, 5, 21, 1, 'The Beaches')
(13040, 'not found', 2024, 6, 21, 0, 'High Park')
(14207, 'not found', 2024, 5, 21, 0, 'Liberty Village')
(16923, 'pending', 2024, 4, 20, 22, 'The Annex')
(42437, 'pending', 2024, 4, 20, 22, 'Parkdale')
(40371, 'found', 2024, 5, 20, 21, 'Cabbagetown')
(43851, 'found', 2024, 5, 20, 19, 'Roncesvalles')
(23423, 'found', 2024, 3, 20, 19, 'Church and Wellesley')
(36002, 'found', 2024, 6, 20, 19, 'St. Lawrence Market')
(2066, 'found', 2024, 6, 20, 19, 'Bloor West Village')
(37869, 'pending', 2024, 4, 20, 18, 'Church and Wellesley')
(27712, 'pending', 2024, 3, 20, 18, 'Scarborough Bluffs')
(11337, 'not found', 2024, 6, 20, 17, 'Roncesvalles')
(24721, 'found', 2024, 4, 20, 16, 'Leslieville')
(29927, 'found', 2024, 3, 20, 14, 'Scarborough Bluffs')
(39554, 'found', 2024, 3, 20, 13, 'Queen West')
(11174, 'found', 2024, 4, 20, 13, 'Bloor West Village')
(8535, 'found', 2024, 6, 20, 13, 'Leslieville')
(26237, 'pending', 2024, 2, 20, 11, 'Yorkville')
(13656, 'found', 2024, 2, 20, 9, 'Yorkville')
(35034, 'not found', 2024, 2, 20, 8, 'High Park')
(22000, 'not found', 2024, 6, 20, 6, 'The Annex')
(21716, 'pending', 2024, 5, 20, 4, 'Church and Wellesley')
(19762, 'pending', 2024, 1, 20, 3, 'Queen West')
(9862, 'not found', 2024, 2, 20, 3, 'Distillery District')
(6167, 'found', 2024, 4, 20, 1, 'Distillery District')
(16417, 'found', 2024, 2, 20, 0, 'Kensington Market')
(3141, 'found', 2024, 6, 20, 0, 'Little Italy')
(21936, 'pending', 2024, 2, 20, 0, 'Queen West')
(34499, 'found', 2024, 1, 19, 23, 'Kensington Market')
(30727, 'not found', 2024, 3, 19, 22, 'Leslieville')
(39018, 'not found', 2024, 6, 19, 22, 'Leslieville')
(6785, 'found', 2024, 3, 19, 22, 'Queen West')
(14536, 'not found', 2024, 1, 19, 21, 'Leslieville')
(9832, 'found', 2024, 4, 19, 21, 'High Park')
(24979, 'found', 2024, 6, 19, 21, 'Chinatown')
(16115, 'not found', 2024, 1, 19, 20, 'Church and Wellesley')
(16963, 'found', 2024, 1, 19, 17, 'Chinatown')
(3588, 'found', 2024, 3, 19, 17, 'Queen West')
(49134, 'pending', 2024, 2, 19, 17, 'Leslieville')
(41881, 'not found', 2024, 4, 19, 17, 'St. Lawrence Market')
(44581, 'found', 2024, 4, 19, 16, 'St. Lawrence Market')
(23905, 'pending', 2024, 1, 19, 15, 'Roncesvalles')
(24575, 'pending', 2024, 2, 19, 15, 'Yorkville')
(27537, 'found', 2024, 2, 19, 15, 'Little Italy')
(9818, 'pending', 2024, 4, 19, 15, 'Scarborough Bluffs')
(49091, 'found', 2024, 4, 19, 14, 'Little Italy')
(35017, 'pending', 2024, 1, 19, 13, 'Parkdale')
(38440, 'found', 2024, 4, 19, 12, 'Scarborough Bluffs')
(41312, 'not found', 2024, 4, 19, 12, 'Bloor West Village')
(44926, 'not found', 2024, 5, 19, 11, 'St. Lawrence Market')
(12771, 'pending', 2024, 1, 19, 11, 'Distillery District')
(13532, 'found', 2024, 5, 19, 11, 'The Beaches')
(5737, 'not found', 2024, 1, 19, 9, 'Leslieville')
(32870, 'not found', 2024, 5, 19, 9, 'Queen West')
(24010, 'not found', 2024, 5, 19, 7, 'Queen West')
(21365, 'pending', 2024, 5, 19, 7, 'The Annex')
(3262, 'not found', 2024, 1, 19, 6, 'Danforth Village')
(34468, 'found', 2024, 6, 19, 6, 'Distillery District')
(36668, 'not found', 2024, 4, 19, 5, 'Queen West')
(21546, 'pending', 2024, 4, 19, 5, 'Yorkville')
(18367, 'not found', 2024, 6, 19, 5, 'Little Italy')
(1719, 'not found', 2024, 5, 19, 5, 'Danforth Village')
(27268, 'found', 2024, 6, 19, 4, 'Distillery District')
(35318, 'found', 2024, 4, 19, 1, 'Distillery District')
(39061, 'found', 2024, 6, 19, 1, 'Parkdale')
(16418, 'pending', 2024, 2, 19, 1, 'Kensington Market')
(45184, 'pending', 2024, 1, 19, 0, 'Parkdale')
(29233, 'not found', 2024, 3, 19, 0, 'Parkdale')
(19601, 'not found', 2024, 1, 18, 23, 'Leslieville')
(9675, 'pending', 2024, 6, 18, 22, 'Yorkville')
(49749, 'found', 2024, 6, 18, 22, 'Leslieville')
(29732, 'found', 2024, 3, 18, 21, 'Distillery District')
(28033, 'pending', 2024, 5, 18, 21, 'Roncesvalles')
(25746, 'not found', 2024, 3, 18, 20, 'Rosedale')
(1749, 'pending', 2024, 6, 18, 18, 'Bloor West Village')
(49979, 'pending', 2024, 1, 18, 17, 'Parkdale')
(12363, 'not found', 2024, 1, 18, 16, 'Bloor West Village')
(38007, 'pending', 2024, 1, 18, 12, 'Liberty Village')
(18301, 'found', 2024, 2, 18, 11, 'St. Lawrence Market')
(4119, 'found', 2024, 4, 18, 11, 'Queen West')
(32961, 'not found', 2024, 6, 18, 10, 'Scarborough Bluffs')
(47613, 'found', 2024, 2, 18, 7, 'Little Italy')
(7769, 'not found', 2024, 6, 18, 5, 'Church and Wellesley')
(1651, 'not found', 2024, 5, 18, 5, 'St. Lawrence Market')
(23996, 'not found', 2024, 2, 18, 4, 'High Park')
(37011, 'found', 2024, 2, 18, 3, 'Liberty Village')
(10042, 'found', 2024, 1, 18, 3, 'Yorkville')
(2013, 'pending', 2024, 4, 18, 2, 'The Beaches')
(13073, 'found', 2024, 6, 18, 2, 'Yorkville')
(37826, 'found', 2024, 3, 18, 1, 'Bloor West Village')
(49431, 'not found', 2024, 5, 18, 1, 'Rosedale')
(30939, 'found', 2024, 5, 18, 0, 'The Beaches')
(19709, 'found', 2024, 6, 18, 0, 'Danforth Village')
(11448, 'pending', 2024, 1, 17, 22, 'Parkdale')
(13099, 'not found', 2024, 5, 17, 22, 'Leslieville')
(48763, 'found', 2024, 1, 17, 22, 'St. Lawrence Market')
(4547, 'found', 2024, 4, 17, 21, 'Chinatown')
(13838, 'pending', 2024, 6, 17, 19, 'Distillery District')
(21536, 'found', 2024, 1, 17, 17, 'Leslieville')
(37275, 'not found', 2024, 3, 17, 16, 'Yorkville')
(46387, 'not found', 2024, 4, 17, 16, 'Liberty Village')
(35491, 'not found', 2024, 6, 17, 15, 'Queen West')
(12000, 'pending', 2024, 2, 17, 15, 'Kensington Market')
(111, 'pending', 2024, 1, 17, 15, 'Kensington Market')
(28345, 'not found', 2024, 6, 17, 14, 'Rosedale')
(30600, 'found', 2024, 1, 17, 13, 'Parkdale')
(24795, 'not found', 2024, 3, 17, 13, 'The Beaches')
(14782, 'pending', 2024, 3, 17, 13, 'Little Italy')
(15807, 'found', 2024, 3, 17, 13, 'Distillery District')
(28637, 'found', 2024, 6, 17, 12, 'Yorkville')
(3851, 'pending', 2024, 2, 17, 11, 'St. Lawrence Market')
(33647, 'not found', 2024, 1, 17, 10, 'High Park')
(44357, 'found', 2024, 4, 17, 8, 'Yorkville')
(19118, 'not found', 2024, 1, 17, 8, 'Parkdale')
(20806, 'found', 2024, 2, 17, 8, 'Little Italy')
(43408, 'pending', 2024, 4, 17, 7, 'Distillery District')
(30948, 'not found', 2024, 1, 17, 5, 'Roncesvalles')
(15591, 'found', 2024, 4, 17, 5, 'Distillery District')
(21753, 'found', 2024, 1, 17, 3, 'Scarborough Bluffs')
(1009, 'pending', 2024, 5, 17, 3, 'Leslieville')
(8501, 'found', 2024, 2, 17, 3, 'Queen West')
(20160, 'not found', 2024, 4, 17, 1, 'Chinatown')
(2686, 'pending', 2024, 3, 17, 1, 'Parkdale')
(967, 'found', 2024, 3, 17, 0, 'Parkdale')
(17595, 'not found', 2024, 3, 16, 23, 'Chinatown')
(23189, 'not found', 2024, 4, 16, 21, 'Parkdale')
(28924, 'not found', 2024, 2, 16, 20, 'The Annex')
(34131, 'not found', 2024, 5, 16, 20, 'Rosedale')
(18620, 'not found', 2024, 3, 16, 20, 'Church and Wellesley')
(6657, 'found', 2024, 4, 16, 20, 'Chinatown')
(21325, 'found', 2024, 1, 16, 18, 'Church and Wellesley')
(46853, 'found', 2024, 3, 16, 18, 'Roncesvalles')
(39902, 'found', 2024, 3, 16, 17, 'Distillery District')
(36312, 'not found', 2024, 3, 16, 16, 'Queen West')
(22801, 'found', 2024, 3, 16, 16, 'Liberty Village')
(48164, 'pending', 2024, 3, 16, 15, 'Leslieville')
(7112, 'not found', 2024, 3, 16, 15, 'Danforth Village')
(26019, 'found', 2024, 1, 16, 14, 'Queen West')
(41834, 'not found', 2024, 2, 16, 13, 'St. Lawrence Market')
(48343, 'found', 2024, 6, 16, 13, 'The Beaches')
(49496, 'found', 2024, 1, 16, 10, 'High Park')
(15627, 'found', 2024, 6, 16, 9, 'High Park')
(36583, 'pending', 2024, 5, 16, 8, 'The Annex')
(40645, 'found', 2024, 5, 16, 5, 'Scarborough Bluffs')
(1518, 'not found', 2024, 3, 16, 5, 'Liberty Village')
(14818, 'found', 2024, 2, 16, 4, 'Scarborough Bluffs')
(38380, 'found', 2024, 6, 16, 4, 'St. Lawrence Market')
(44365, 'found', 2024, 2, 16, 4, 'Queen West')
(48345, 'not found', 2024, 2, 16, 3, 'Scarborough Bluffs')
(10758, 'found', 2024, 5, 16, 3, 'Kensington Market')
(28820, 'found', 2024, 1, 16, 2, 'Queen West')
(37239, 'not found', 2024, 1, 15, 23, 'Liberty Village')
(13801, 'pending', 2024, 2, 15, 23, 'Kensington Market')
(19994, 'pending', 2024, 5, 15, 23, 'The Beaches')
(4199, 'not found', 2024, 5, 15, 21, 'St. Lawrence Market')
(48096, 'found', 2024, 1, 15, 20, 'Scarborough Bluffs')
(7415, 'not found', 2024, 5, 15, 19, 'Danforth Village')
(21511, 'found', 2024, 2, 15, 18, 'The Annex')
(46171, 'found', 2024, 2, 15, 17, 'Chinatown')
(24404, 'not found', 2024, 1, 15, 17, 'Liberty Village')
(28146, 'found', 2024, 6, 15, 15, 'Leslieville')
(21263, 'not found', 2024, 2, 15, 15, 'The Beaches')
(37791, 'not found', 2024, 6, 15, 12, 'Parkdale')
(28233, 'found', 2024, 5, 15, 11, 'Rosedale')
(47977, 'found', 2024, 1, 15, 11, 'The Beaches')
(84, 'not found', 2024, 3, 15, 10, 'The Beaches')
(25912, 'found', 2024, 3, 15, 9, 'St. Lawrence Market')
(30677, 'found', 2024, 3, 15, 9, 'Bloor West Village')
(42661, 'found', 2024, 6, 15, 8, 'Rosedale')
(14952, 'found', 2024, 3, 15, 8, 'The Beaches')
(124, 'found', 2024, 1, 15, 7, 'Cabbagetown')
(43194, 'not found', 2024, 6, 15, 7, 'Liberty Village')
(26443, 'found', 2024, 6, 15, 6, 'Rosedale')
(28441, 'found', 2024, 6, 15, 6, 'St. Lawrence Market')
(27270, 'found', 2024, 5, 15, 5, 'Yorkville')
(27805, 'not found', 2024, 1, 15, 5, 'Cabbagetown')
(38564, 'pending', 2024, 6, 15, 5, 'Church and Wellesley')
(41277, 'pending', 2024, 3, 15, 5, 'St. Lawrence Market')
(39936, 'not found', 2024, 5, 15, 3, 'Bloor West Village')
(34408, 'found', 2024, 2, 15, 3, 'Bloor West Village')
(15859, 'pending', 2024, 3, 15, 3, 'Cabbagetown')
(12535, 'found', 2024, 1, 15, 3, 'Chinatown')
(18553, 'found', 2024, 5, 15, 2, 'Chinatown')
(28810, 'pending', 2024, 2, 15, 2, 'Liberty Village')
(44711, 'found', 2024, 4, 15, 2, 'Scarborough Bluffs')
(48037, 'not found', 2024, 5, 15, 0, 'Distillery District')
(6039, 'found', 2024, 1, 15, 0, 'High Park')
