VIN,Make,Price,Purchase_Method
D9GP8GEC2U2V5RZ2L,Toyota,190000,Cash
VMCSAE2B6XK2J4XNA,Ford,470000,Financing
NKT848N127A0NL33W,Hyundai,280000,Financing
RSVD9VNSXJ52C8RLW,Pontiac,230000,Cash
UZ1RD47D8ENL6ERZF,Subaru,50000,Cash
K4SDPUJY6E60AVF2T,Pontiac,300000,Cash
FYRLG5VT199Z1USTX,Ford,340000,Cash
GUCKBSLD4KZPJVPWW,Volvo,220000,Cash
DULN3C645NCL91D7L,Chevrolet,320000,Cash
V3T3AXFG1YJ6H23CL,Mercedes-Benz,60000,Financing
JTN1HH02XC9ATUUPD,Ford,210000,Financing
9LDF98C40Y7HMA01S,Dodge,240000,Cash
EX8JC0J188PNC0080,Eagle,340000,Cash
M2GPZUZ32VWW61LTB,Ford,440000,Cash
E83ME2WXXHY6401D6,Chevrolet,400000,Lease
4S6MCP9R858XF4GB6,Isuzu,50000,Cash
1893RGKX5MS6NLXNV,Kia,490000,Cash
C4LXS9UG75NVZ6Z9C,BMW,290000,Cash
JR6A0BBS7L9Y60J6B,Ford,490000,Financing
KGAMVFJU03V75X07F,GMC,460000,Cash
2JWGL56VXJKL8WGG3,Lincoln,300000,Financing
J2E4F0X45NZMLNK4N,Volkswagen,270000,Cash
G9YHBJVL8DXBHLH2H,Pontiac,460000,Cash
ZV7D36U613N10T8RS,Toyota,340000,Financing
HUT7HMJ72GXPM8VS0,Subaru,160000,Cash
97HEPPAB5HSPNYH1S,Ford,190000,Cash
44JXU0VK7PL2CX0YF,Audi,180000,Cash
T5BUXLNS5H58VBZ2B,Acura,440000,Cash
M7YMJ0N3XPTFNMJ97,Bentley,280000,Financing
L77JKPH603FVVDN1N,INFINITI,200000,Financing
36PJ0UL35DVAJ4GF4,Isuzu,330000,Financing
U6R9TRS94S62L6ZMT,Hyundai,150000,Cash
8C2N98669NGKURAPU,Rolls-Royce,490000,Lease
SNZJF2KA529C5UP8W,GMC,170000,Cash
TY1S59M11RHFXCGHT,Chevrolet,260000,Cash
SDPTRGET7FAPA99JK,Lincoln,80000,Cash
1NEHN6TB83WRKFZDN,Chevrolet,270000,Cash
SKXKBZX00KFNG3W1X,Mercedes-Benz,80000,Cash
14J5XWEM71XC2VZZE,Mercedes-Benz,230000,Cash
JY6E3Z1M04EU1RXAB,Isuzu,270000,Cash
692B3KAW11TVF96DE,Cadillac,470000,Financing
BVV5XWWE9848FM8AL,Hyundai,320000,Financing
CG339PWW952X7S3RJ,Dodge,230000,Cash
SGK81MSP0DTU0WMMV,Dodge,370000,Financing
11LBR8A68STJED2UE,Volkswagen,470000,Financing
MJYDH03G4YHYNHV2R,Nissan,410000,Cash
EVCZABEN5B7FZTN5T,Dodge,170000,Cash
YX6NURF866B0JGTKU,Chevrolet,390000,Lease
H36CLY2T4NBEUCXJT,Mercedes-Benz,200000,Cash
ZV1XRSC44Z41Z8MBH,Suzuki,20000,Cash
8H3XVBEW29XG7YAPW,Mercury,180000,Financing
5KNSSRCH4XYJTRR43,Acura,410000,Lease
T5KTHKM595TF3UTXU,Mercedes-Benz,280000,Cash
80WBUZB93KB2NS0EY,Aston Martin,30000,Lease
L5DWA2274E7YGXYFZ,Chevrolet,470000,Cash
5Y8H87518RMFJHMZJ,MINI,470000,Cash
07CPLM1P1TS0GU6XH,INFINITI,10000,Cash
GNAVZ7722F3SUXX4Y,GMC,240000,Financing
8WJBX0BB1H5Y6JCKR,Toyota,470000,Lease
3W10PMA53VE0XV4FY,Ford,490000,Cash
XC0RHSFB1U6CG8138,Dodge,130000,Cash
K7VRPCE753DPBS4ZS,Chevrolet,50000,Financing
JJUS6FE850TC3SCKU,Honda,350000,Cash
04V0HK3X2JEJ01LRY,Lincoln,300000,Financing
9VD9ZY8Z9BJ6UU40W,MINI,140000,Lease
KKM9H3R64HW9G4FYE,Audi,100000,Cash
E7FG498U0UPZE7SRG,GMC,410000,Cash
FU34P4V43909R625E,Ford,210000,Lease
KS9E3UV23FPW9XBGE,Dodge,350000,Cash
ZS9VX3N40XGTZFDEV,Ford,160000,Cash
23VGFJR18A6MZK3SP,Chevrolet,480000,Financing
A9DA7NRJ3J7G3A9RL,Mercury,120000,Cash
V75FWU7778V510NGL,Acura,10000,Cash
XR0D1BGA0CDD190HT,Chrysler,240000,Cash
7PSR2JVX8UTH4BKRV,Suzuki,460000,Cash
D9NEM2UC71PNGF8GW,Ford,290000,Cash
RVW3SFWH5NRPTZY9A,GMC,260000,Financing
HRVSJNEPX9A5KTJ4T,Subaru,130000,Cash
RJNMX7CV3477E5XD3,Ram,260000,Financing
T2C65Y6N6G7UJ7NM6,Volkswagen,470000,Cash
SSRE4ZD687CA8VGSH,Lexus,320000,Lease
279HBA7W862JP5AYE,INFINITI,430000,Financing
LWER443Z7VYH0N9P6,Hyundai,130000,Financing
HV50JKKB7U71AR4BA,Toyota,320000,Cash
WD5LU0GZ2HADPHNTS,Lincoln,230000,Cash
18SVMVYV4JJ5UWU24,Dodge,430000,Cash
XU70SE7G41EN98T6G,INFINITI,480000,Cash
5JJJ1DXG3SYPL5SDP,Pontiac,60000,Lease
7NTWJG203CRE8ZYHG,Lotus,110000,Financing
AMPLSSS80CRJPXR6F,Chevrolet,90000,Financing
0M84MY857MMCTYSX7,Oldsmobile,160000,Cash
S8EWH58447425DVH3,Toyota,220000,Cash
SWT276HSXGBVS3D8J,Dodge,300000,Cash
EUJWU4FK808229T73,Toyota,80000,Financing
6XTF0RVB6CJCZKABK,BMW,230000,Lease
W0U6WJB18Y3FNBPNR,Volkswagen,30000,Cash
DFCBS0UZ1H7BGYCLV,Ford,160000,Cash
4Z8WUG1C18R5427K9,Toyota,400000,Lease
E1MVZKX41AEVP5MGT,Mercedes-Benz,230000,Cash
BSW94LMJ6Y592VLJV,Toyota,250000,Cash
T2MWCDX685AU7F3SN,Land Rover,250000,Cash
0CWZ8HK6513YFDPD8,GMC,440000,Cash
EZ3NBCV12RP08DG9E,Ram,320000,Financing
E5ZVYFJH7NKKV5YHM,Chevrolet,180000,Cash
ZDC1EVV39E6E4A096,Audi,90000,Cash
SB0B09T629YDB9JSX,Cadillac,380000,Cash
UJ7PY8PT2TJLL5728,Jeep,90000,Cash
ZKASSNPM8ZV3RYWHR,Suzuki,420000,Cash
TTWU13D17LNP74E57,Chevrolet,190000,Cash
327DAK2X7LT0CD28N,Lexus,410000,Cash
19D8VAXC966WW0JWF,Mitsubishi,60000,Cash
Y8U0LGK41HA4B3X94,Pontiac,330000,Cash
KS10G8RV1N3BLJU13,Cadillac,420000,Cash
T5YC4TCJ30TRZ5JLJ,BMW,340000,Financing
JLBW7RL147VGMJ854,Scion,420000,Cash
0FXA5F8S15JHZP2XR,BMW,40000,Cash
H5EXW6X99M4M51E70,Volkswagen,270000,Cash
XTTEDB810BWDGZY0B,Dodge,190000,Cash
MT5WC2GA9KKXJRDHN,Mercedes-Benz,100000,Financing
REPHGUD1XSZ991M4R,Buick,140000,Cash
7HNUFXGLXY3HV7KUT,Kia,400000,Financing
DY0BEH3L6YT67L9AF,Alfa Romeo,340000,Financing
2NHRBBY34UYL9L387,Mitsubishi,440000,Financing
LJDVAHXA4WCU8RWKC,Lexus,470000,Cash
V1JSFKNE792P7S2SH,Porsche,350000,Financing
BN6CZVM35599RNN21,BMW,50000,Financing
S34RZPY891A1HJGYL,Dodge,210000,Cash
ZYPNXEXH7ATWRA6T7,Chrysler,400000,Financing
AFZWLHUJ3A38HMKKR,GMC,470000,Cash
TMLPDFUB64CKZYZKX,Toyota,170000,Financing
U53GM72X5T11FMM85,Toyota,470000,Cash
X21MEC6WXXB1NDS6X,Chevrolet,220000,Financing
21VY01XA04CN0LTZ3,Volvo,210000,Cash
8A2H0TSN48V0YJAVU,Lamborghini,200000,Financing
U7P7J3VLXKRXM7X15,Nissan,360000,Financing
AN2U3JZG0WPH5YGR2,Lincoln,450000,Financing
RL4BYLZA8Z8VS5ML5,Chrysler,160000,Cash
83YY17W4909R3GKKD,Audi,30000,Cash
Y4F783BY2EDHW6GUP,Maserati,110000,Lease
7AL75CTU8S1G0RY03,Suzuki,100000,Cash
FX2AZDSR4EUK93B92,BMW,10000,Lease
P0NLR6DZ6W4KHDBB0,Lamborghini,490000,Cash
3TU6SX2M4SNYJ6DV7,Volkswagen,100000,Financing
9VKA2C1A8VPGC3U1Y,Dodge,370000,Cash
BB1C38T39BEBNR4NH,BMW,430000,Cash
W324U47SX0DU5EP0W,Jaguar,260000,Cash
L53Y2LCV8JWUJSZA4,Nissan,70000,Cash
9CKS2Y5T6VJEM6PBC,Kia,480000,Cash
PZLVUF7Z79S19281E,Chevrolet,330000,Lease
6GVKYS943BF6V2XEU,Toyota,250000,Financing
PUTV0PRP33V5Z7LLL,Kia,310000,Cash
3RVD62ER7F47RY3Z0,Chrysler,120000,Lease
VZEDZBE226CK8VFG9,Honda,240000,Cash
33DA8HWG2TL0DMJFG,Chevrolet,320000,Financing
DJFY6FZR9UPUG43LP,Volkswagen,320000,Financing
YPEVNWUYXMTAX8JDJ,Cadillac,430000,Lease
1C1DYCH3424BH9XUL,Aston Martin,310000,Cash
GZC2W9HW4HB44P8SF,Pontiac,200000,Cash
1H09FJWNX80C9328X,Toyota,180000,Financing
JDL7VZ3D0HG9PW5LN,Chevrolet,410000,Cash
E05SHC0J66M1A48JZ,Nissan,150000,Cash
0X85EUN10KJPVU8FG,Nissan,220000,Cash
V0H7CVGJ3LM5WSFYB,MAZDA,100000,Cash
G3NEZSPC5SA0B6R32,Toyota,100000,Cash
Z1298AX72B52HK8GK,Subaru,130000,Financing
H8N3DPUU2GFV2MXVS,Toyota,250000,Cash
M4HTXX6E69FF7L1MF,Mercury,410000,Financing
AMWMVBXX651R2HRPD,smart,90000,Cash
JJENDWJT4WN9YV21F,Chrysler,200000,Cash
XRN2XDD68NDR9W605,MAZDA,400000,Cash
N77H9K0H9VW0G191N,BMW,380000,Cash
K42USBZ411453A16R,Ford,70000,Cash
AM6BJ8LU4YRJ3FEWZ,Suzuki,190000,Financing
DZFRSJE895H272JU7,BMW,480000,Cash
ZHC9D7P0XR1E49L69,INFINITI,420000,Cash
5CXLPBEE8HAF1GWTZ,Mercedes-Benz,30000,Cash
SW48MBHU59EUSZ7S8,Dodge,70000,Cash
RMS4910BXGW7AG8D7,Porsche,230000,Cash
KZNCLGX85RAEPG3BD,Dodge,440000,Financing
ZREZV42G359D3S1M2,MAZDA,240000,Cash
72UFNH962Y8SAX5UC,Ford,90000,Lease
7F310PPN6NARLDNU5,Toyota,410000,Financing
HARSKVRH4KUU8TP0D,Ford,100000,Cash
NFZ0SD0M6MF2KJUD4,Volkswagen,300000,Cash
BN37LW7N0RR3X4SK7,Toyota,30000,Cash
MS26JKXT1WKN47LAE,Mercedes-Benz,420000,Cash
97AYN1GS2NK53243P,Ford,450000,Lease
ZBJNLFUW3TZ073J6L,Honda,30000,Financing
XUM82V5P04WWVNS14,Ford,490000,Cash
33Y6LL0Z6MC1U3R9N,BMW,450000,Financing
200BBCJNXLX6YRWCH,GMC,140000,Cash
KVUBP5NM3ZHFR7TNC,Land Rover,210000,Cash
4JSNKPFX65CYFL2KP,Audi,80000,Cash
EFW9B6SE8GB9F718M,Toyota,300000,Cash
P1T3HG4A72V4T0VCS,Suzuki,140000,Cash
AKKT24XS49008JRRW,Audi,330000,Cash
2L8NRXPR9NKNKHT8H,Pontiac,370000,Cash
KSWMLG777XN314NHT,Chevrolet,140000,Cash
8SVN7W54267DSM1TM,Honda,30000,Lease
CL90P4VL90W5UA2MC,Ford,270000,Cash
AF7M07GH6H6LAT21A,Ford,120000,Financing
7S5WF6XHXE22AHE84,Honda,460000,Cash
L9RV6C7L2ARBW7TBK,Mitsubishi,140000,Cash
98N60P8T636CJES8N,Oldsmobile,310000,Cash
8HYK318U8K0KHGA3Y,Ford,190000,Cash
U7CKL39K3024CXVPH,INFINITI,360000,Cash
2KGT006U54GLDKLV0,Chevrolet,160000,Lease
PVSTMKB50XYGJ17YR,Land Rover,200000,Cash
0ZJ3A42T1R64BPX7N,Ferrari,50000,Financing
8FG55X0B7SYL3BNPD,Pontiac,450000,Cash
AT1ED6ZJ53T6WGSSA,Plymouth,170000,Cash
LSCSY6EC4XF2R696X,Kia,350000,Financing
X9LJMM6L0ZBV1N13U,Ferrari,150000,Financing
K31ZENZY09SCUJ42T,Ram,390000,Cash
6P3SU7133T8HRVLC1,Ram,380000,Cash
41GG8D1802KLU4HHE,Ford,400000,Financing
TJAYDTTM6G93WEZ85,MAZDA,430000,Financing
K6CKG9BS8URZ2GJX9,Ford,470000,Cash
2VS6RJ2B4738GY4XK,GMC,140000,Cash
2HN76UM83P1NB863J,Mercury,130000,Cash
L5MW2ETY6WBKSB4J0,Ford,340000,Financing
4K5977F79LR0CBHK5,Hyundai,120000,Financing
3EA4FPUJ76AHU6UM0,Hyundai,370000,Financing
71VNX9KD7HJNZK950,Hyundai,470000,Lease
9E27KRMR7ZKPDBRBB,Lincoln,160000,Cash
7K0ABEPW1P59BNHPA,Lexus,190000,Cash
KC1GLHUJ7K0ZEEV2N,INFINITI,240000,Financing
MGCERPR387UG4U5RL,Chrysler,410000,Cash
SS3JUCSJ90UV0NENV,Ford,30000,Financing
5VSWKWUJ7460DFJVU,Acura,40000,Cash
PBS2N3413NM4DT7S8,Volkswagen,420000,Lease
XA9GJK826N3DHM27V,Ford,450000,Cash
EB4JR2P44VXDA3SM9,Porsche,400000,Cash
SM65AWM6927XV5K7P,Dodge,40000,Financing
V03CAY4D93ZJ84YHK,Ford,210000,Cash
325G4VP51DH0GHKBX,Volvo,210000,Financing
4V3TB1N78VM9J2HYF,Ford,460000,Cash
16EHJ8PL6HHZH2PS9,Suzuki,200000,Cash
2KRA6CVU7Y97GDULC,Geo,410000,Cash
WGFM86N74B8T1RUU6,Volvo,340000,Financing
90JD08HW0PAX0EJXL,Ford,300000,Cash
9WX357072XN89N21V,Volkswagen,230000,Cash
YGV7CHLS6J0LCD2MD,Ford,280000,Financing
7HBXBKU49SMGP5236,Chrysler,180000,Cash
5FHYLAL06HLAELXJE,Lexus,140000,Financing
P813RVJ78JUBZ2N89,GMC,220000,Cash
47Y62AZL6TM2BSSF4,Lotus,210000,Cash
XWW5CDX437SZFLD97,Ford,80000,Financing
J3ZZUF9S490UE8WBJ,Audi,460000,Cash
DD5UMV42X403D46TB,Jaguar,270000,Financing
0R2DYHY51VB288LMS,GMC,380000,Cash
LRVCXEW00T7HX1N5N,Ford,20000,Lease
YYFGLLU2XU3RJ61K4,GMC,360000,Cash
3H15YA8CXMP728G0K,Toyota,280000,Cash
6TM2H3XK5EB2D7Y2Z,Dodge,370000,Cash
RHR07KKGXFV9ZAKT2,Chrysler,110000,Cash
NWUWAY835UU00X1EP,Dodge,300000,Cash
RYEHBC70XH8HV725R,Dodge,430000,Financing
5TPB74G77SFR7HNYE,Lexus,70000,Cash
SMCFJHB76960GH1GY,Toyota,150000,Financing
E1P40L4X6ME8UDT7D,Audi,140000,Cash
FTPHNT079T9C4ZLRS,Oldsmobile,50000,Financing
LZ75TAMF4HFG6PG25,Dodge,130000,Cash
C07GZ6DN2WJTFMY69,Oldsmobile,280000,Cash
HKM8JSWU5EASCY0GZ,BMW,480000,Cash
51A7MVE02WJHJX01U,Kia,50000,Lease
BSVNBF2C92FN0A7JA,Saturn,240000,Financing
BP4T4T9R7EULS9K86,MINI,380000,Cash
PVXWZEUJ72BG3C1R1,Dodge,360000,Cash
210MJTH06SCM8SCKM,BMW,490000,Cash
A9H1K2NLXXZ7C7X7M,Ford,250000,Cash
5T9S4K9V8PUE2Z046,Rolls-Royce,260000,Cash
39G3YZYZ3EY71ERSA,Dodge,200000,Cash
M5R8ASEM4BMKT3WWZ,Chevrolet,80000,Lease
KBBTAF4Z0PBRU450A,Ford,240000,Cash
KF270UCH6MNXVWMBP,Chevrolet,230000,Financing
G1ML6GMP1MM2JTBR6,Buick,270000,Financing
0XBA1ZLN60MVFCZAB,MAZDA,180000,Cash
84D4X9SR8BG991U03,Land Rover,220000,Cash
NN7K2P6N22TNCMKXX,Lamborghini,260000,Financing
8WE40XKY3D7HD6VG8,Jaguar,140000,Cash
4LFUERAX9P4T64U1D,Nissan,360000,Cash
Y3LCLC1M9LL828U7C,INFINITI,150000,Cash
CASUEBKUXADBXF89N,Nissan,150000,Cash
NXVM798M2MFGRLL5Z,Mitsubishi,390000,Cash
M8K2NWZM5JY2U7B0M,Ford,210000,Cash
CYUHTZ1D1CL9D6F7X,Saturn,360000,Cash
KFJFWHMA42P74N287,Kia,310000,Cash
W5A77HRD0SF8PTUBY,Ford,70000,Cash
S1LUKBX35HUF8BZMD,Kia,350000,Cash
E7ZPU4ND1PDTLVV1P,GMC,270000,Cash
31X0S6CCXFFT3E9WZ,Chevrolet,460000,Financing
AX11UYMY1UT6EG6ET,Lincoln,90000,Cash
ZP7JKDKU8AEMZE0DK,Dodge,40000,Cash
D90W1K2Y7LFP49H6Z,Volkswagen,220000,Financing
EDJ1L1RT64E0KNCUA,MINI,260000,Financing
KSARAV9K66CPWWLAW,Nissan,410000,Cash
WAWUFBUE649BBXX0T,GMC,190000,Cash
246T9YWS0NRSF1LS4,Land Rover,250000,Cash
LN0UX9NX1VBGHR36H,MAZDA,180000,Financing
AUG95A2W2MNDVX66V,Dodge,430000,Lease
EVLF53GK9RPJL3N00,Audi,40000,Cash
D8VHGVAE1CL8NY77C,Chevrolet,400000,Financing
BANSGS9R2YJK7RMPD,Chrysler,470000,Cash
61FX5X6257STUWA76,GMC,290000,Cash
AF3PWEJH7CYW1DXPS,Nissan,220000,Cash
29ETU3JS2TVCUZBDL,Isuzu,260000,Cash
YZD81SC214ZYJUF93,Cadillac,250000,Cash
LYKKYV7L4WX4Y434V,Nissan,260000,Cash
T81TXWLG50E0Z5T6Z,Honda,70000,Cash
YD2BU9P8XVT4SDJJU,Ford,200000,Financing
PCFWHUXJ85BD3VAZU,Jeep,150000,Cash
L2DYM9P62H4EL9LNY,Nissan,440000,Cash
6NULK3PU2DPW420H1,Chevrolet,50000,Financing
V5XHFSH0063SZA6BW,Chevrolet,400000,Cash
HYE3KT7R4V9458WS6,Honda,20000,Cash
1UBL8HREXYEJU8XDZ,BMW,440000,Cash
C2PDMRJF2EW6FC51T,Toyota,420000,Cash
WF6PU7R01JMFCX4BW,Ford,90000,Financing
WXZNSKTM7LL52CX6D,Lexus,30000,Financing
AYM09XZE8F7AUFBXJ,Mercedes-Benz,440000,Lease
8TES74PC5WRTW360X,Cadillac,340000,Cash
RPSH4KVP1EBC8EJEG,GMC,90000,Financing
8HLCY6M5XLN0WY1GV,BMW,130000,Financing
LU4H7F3U2D9NGCLR3,Chevrolet,460000,Financing
181TAVYN6E7UEDRHB,Chevrolet,240000,Financing
EE1V379J7AZY5BK5X,MINI,380000,Financing
STMLXUP80FBWNNGLK,GMC,140000,Cash
VXKD0YNJ9PLVYZMG5,BMW,260000,Financing
DS6ZPRMN84W5UERF4,Land Rover,200000,Cash
3KG8ZHP0523ML7W1A,Mitsubishi,420000,Financing
ZNNAL3A79Y2LX7HA2,Nissan,470000,Cash
4YAHY4616UDR9ELJ5,Kia,480000,Cash
NHNPE2V4440DYPY65,Volkswagen,290000,Cash
V2XMWMGG606SS6SG0,Buick,350000,Financing
PR0AASHJ6J0VV6YKW,Chevrolet,450000,Financing
18CZ82UW5XFTHPSAU,Freightliner,140000,Financing
ZUX3C6VB2ZZZ1T4S5,Chevrolet,190000,Cash
3YMU9U3P4Z8LFNAN8,Lincoln,20000,Cash
6Y9G1G1H23GPS4S5V,Pontiac,210000,Cash
JDPN57BJ0EBY3MH2W,Suzuki,90000,Cash
C23MPLGE4RTJGH6DK,Nissan,350000,Cash
7NT17W0TXFH8CYHMT,Ford,360000,Cash
X97RWDKP1H6EX8R6E,Ford,190000,Cash
MCCYJ4H24N71YG2JJ,Aston Martin,90000,Lease
75RUYV9F95XTVU4JF,McLaren,290000,Financing
65AU3MB438HFLDYDL,Mitsubishi,260000,Cash
48S8SC4M5E9VTY8DM,Tesla,310000,Financing
DG3K4MLH0KTN4945R,Porsche,100000,Financing
7TU2JRH79FNK59X3W,BMW,240000,Lease
YKB8YZX02XNXNK4MM,GMC,30000,Financing
UHNUT1UL4MST9P945,Ford,310000,Cash
LY5SKL2Y3ESK636AX,MAZDA,460000,Cash
V1GRB8VG4C9KTCMEE,BMW,440000,Financing
WZAL0TS430GUNTUMJ,Nissan,280000,Cash
AC0C3CXV4B0ZBVCT0,Jaguar,90000,Financing
K8ZB3AMZ4ND2UA1JJ,Pontiac,70000,Cash
WEH03EV10A27GDKVK,GMC,440000,Financing
H7V1TRMM1CEV2TZ2J,Cadillac,180000,Cash
UF0CKXFX29UPNBM0A,INFINITI,440000,Financing
RZBEGNHGXWL0F0HP2,Ford,140000,Cash
4HJHWFFH964E831CC,Subaru,280000,Cash
CVHX81AE085EJCP6D,Alfa Romeo,80000,Cash
A077F7SZ6MVE8GSZB,Lexus,160000,Cash
MHWDAMGE1H20N89TX,MAZDA,200000,Lease
MBCE2WGH34S040JKY,BMW,110000,Financing
GK62NYSP0UY1JFPJ5,Subaru,470000,Cash
LN7VGVEW5X0F6F8EV,GMC,200000,Cash
C7XYD8P572526WGDE,Honda,110000,Cash
16UFJ2A09432A2VYF,Honda,280000,Financing
DX862TYZ3FA0E5PBE,INFINITI,10000,Lease
RADJWP7P8FPX265PA,GMC,390000,Cash
H1S93B4D61FM637RL,Volkswagen,320000,Financing
GU5SDXAKXUVPHMG80,Chevrolet,170000,Cash
J5L1G5H290LEAT8NW,Mitsubishi,90000,Cash
LBLTWPCD04KCMVURP,Land Rover,340000,Lease
28TATR5L178RGXM20,Jeep,100000,Cash
V44E5ULN3J867CFSG,Toyota,220000,Financing
KLRFS2168HGBFAWZ3,BMW,250000,Financing
KERSAKD12BMH6LEV4,Chevrolet,10000,Financing
YNVD4A2J2XWNN8RRX,Bentley,450000,Cash
GUS7CT4F72UECL5XA,Jeep,190000,Financing
JJ910EME9HMSGSHKL,Land Rover,20000,Cash
M2HCMZK178WF9LGKY,Mitsubishi,40000,Cash
Y0R8PM2E90X7Y82PU,Ford,90000,Cash
RELT1UGKXXB45TZPZ,Chevrolet,430000,Cash
SY6TKB4111UWCSJGR,Toyota,370000,Lease
WBDPRWDL05M8SVA58,Mercedes-Benz,160000,Financing
EYRF2KTM6DXM0FLZC,Dodge,340000,Lease
G14U11GS2ZKA1622M,Chrysler,50000,Financing
75ET9P9X5UT1GEB62,Volvo,310000,Financing
UF2HZRKR17RTHDLEL,Lexus,190000,Financing
F13RPBT13FV1V92EV,Honda,40000,Lease
U96GLPPA3DNLKU71H,Chevrolet,70000,Lease
CPH5K1BA9FMRV7SSC,GMC,210000,Financing
KR1XRUVZ4SFWCWU47,Jeep,150000,Cash
168A76387GDSZX0NE,Pontiac,20000,Cash
Y4JZ7VA37HJSLE5JX,Volkswagen,340000,Financing
NSNSDXFY9PAFDR1MT,Nissan,200000,Cash
VDL4YYZ130VN9EKVE,INFINITI,30000,Cash
LUF0T6LE86RHMV7ZV,GMC,380000,Cash
UT5DYEEW27GNJDJV6,Chevrolet,170000,Lease
ZR0484VB1LE3YZMTT,Ferrari,320000,Cash
S41WCEXJ3ZWJSZT1H,Audi,490000,Cash
0975UTBN0VV6TFJ1H,Ford,370000,Cash
CYLDWKMN1T138NEX5,Volkswagen,160000,Lease
53PZLDKN7XBN005CF,Acura,350000,Cash
1KZ52WM94MKDJ58SS,Chevrolet,430000,Cash
LZ1SGFC6XNP9PJ58A,Ford,160000,Cash
9F13G2GV20TH3N96V,Chrysler,340000,Cash
5047DP5U0M4YVVAE6,Ford,290000,Lease
UT7K179J56ZSTBAHX,Acura,470000,Financing
4E4XSN308BUSH67ZM,Ford,410000,Cash
