event_code,outcome,year,month,day,hour,neighbourhood
73,not found,1995,02,28,17,Patricia Inlet
74,not found,2001,04,30,23,Brittany Station
75,found,2017,01,10,05,Frederick Crest
76,found,2011,11,08,03,Ryan Club
77,found,2015,09,05,05,Emily Plains
78,found,2022,11,26,12,Schaefer Mountain
79,pending,2000,12,31,21,Williamson Squares
80,not found,2007,10,10,12,Charles Port
81,pending,1998,04,01,08,Jeffrey Fort
82,found,2016,12,08,17,Matthew Valleys
83,found,2007,07,25,01,Angie Plain
84,pending,2022,06,29,10,Kimberly Estates
85,found,2002,07,22,23,Nathaniel Square
86,found,1999,05,28,09,Amanda Shore
87,found,2020,08,06,01,Hubbard Lane
88,found,2019,03,04,01,Madison Manors
89,not found,2021,09,01,22,Amy Trail
90,not found,2014,04,04,05,Watkins Radial
91,found,2013,03,03,11,Scott Flat
92,not found,2017,07,10,17,Melissa Mall
93,not found,2008,10,26,08,Emma Estates
94,found,2023,03,20,06,Taylor Plains
95,found,1999,05,30,06,Smith Green
96,not found,2011,12,28,09,Roberts Fork
97,found,1998,02,04,01,Mark Shore
98,found,2017,12,16,17,Katie Burg
99,found,2011,08,12,11,Warren Pines
100,not found,1998,01,02,09,Horne Course
101,not found,2010,02,10,04,Derek Curve
102,found,1999,01,23,08,Perez Overpass
103,found,1999,09,09,23,Kelly Motorway
104,found,2005,07,28,15,Drew Viaduct
105,found,1999,06,13,20,Smith Valley
106,pending,2024,03,02,07,Robert Fords
107,pending,2015,07,18,19,Sean View
108,found,1998,03,30,20,Tiffany Isle
109,found,2023,08,25,08,Melanie Cliffs
110,not found,2008,10,29,01,Mcdaniel Green
111,pending,2005,11,29,12,Hernandez Shoals
112,found,2016,08,25,05,Andrea Trace
113,not found,2012,08,10,02,Lindsay Stream
114,pending,1998,11,05,18,Powers Roads
115,found,2015,06,07,09,Vanessa Inlet
116,found,2016,09,24,06,Thomas Hills
117,found,2012,08,29,23,Summer Center
118,found,2001,08,30,01,Brandon Ports
119,found,2019,02,10,01,Aaron Tunnel
120,found,2013,05,08,21,Jenkins Neck
121,pending,2011,11,07,12,Thomas Roads
122,not found,1998,06,30,06,Palmer Plain
123,pending,2007,05,18,07,William Alley
124,found,2007,12,13,05,Patricia Hills
125,found,2016,02,15,14,Young Port
126,found,2023,02,13,05,Michelle Road
127,not found,2005,04,13,11,Williams Fields
128,found,2006,01,24,23,Jeffrey Court
129,not found,2015,11,28,22,Jeffery Estate
130,not found,2008,12,25,22,Boyd Motorway
131,not found,1996,04,16,18,Williams Estate
132,found,2010,06,12,02,Amy Drives
133,found,1997,11,11,09,Haley Glen
134,found,2007,07,28,22,Richard Wall
135,found,2005,01,27,18,Stephen Mews
136,found,2009,03,06,02,Lisa Pines
137,found,1996,08,01,14,Vanessa Alley
138,not found,1997,09,12,06,Jennifer Spurs
139,found,2014,11,02,11,Richard Port
140,found,2018,05,02,02,Smith Isle
141,not found,2006,03,03,17,Stewart Shoal
142,found,1998,02,14,11,Huffman Village
143,found,2002,05,23,16,Ethan Curve
144,not found,2005,07,17,04,Gillespie Pike
145,pending,2011,03,12,03,Tammy Circles
146,pending,2013,11,24,10,Evans Plaza
147,not found,2012,07,13,17,Mendoza Fall
148,found,2001,04,14,01,Kayla Summit
149,not found,2018,10,05,12,Johnson Walk
150,found,2008,08,21,12,Virginia Ford
151,found,2006,11,20,08,Parker Island
152,found,2015,05,29,15,Taylor Causeway
153,found,2001,02,05,20,Rachel Plains
154,found,1999,10,22,20,Huang Groves
155,not found,2003,06,02,10,Johnson Mission
156,not found,1996,02,11,09,Tucker Park
157,found,1998,01,11,03,Long Cliff
158,found,2006,05,24,23,Mcconnell Ferry
159,found,2011,04,01,08,Cynthia Extensions
160,not found,2009,12,23,01,Fox Street
161,not found,2003,08,17,14,Fernandez Via
162,found,2012,06,30,20,King Parkway
163,pending,2013,01,10,11,Rodriguez Viaduct
164,found,2000,01,04,03,Thornton Manor
165,not found,2002,01,17,14,Rogers Island
166,pending,1995,10,18,19,Hurley Summit
167,not found,2014,02,25,15,Downs Fort
168,not found,2021,09,30,22,Arellano Meadow
169,not found,2007,05,08,02,Wood Crest
170,pending,2023,04,01,15,Thornton Curve
171,not found,2011,09,26,17,Stevens Stravenue
172,pending,1995,12,23,05,Madison Mountain
173,not found,2020,12,09,13,Jenkins Terrace
174,pending,2002,08,14,16,Simon Wall
175,not found,2017,08,08,12,Cindy Terrace
176,not found,2020,10,28,13,Austin Hill
177,pending,2009,02,06,02,Roger Circle
178,not found,2016,08,16,19,Smith Lane
179,not found,2024,01,26,18,Tara Forges
180,found,2017,06,02,14,Torres Harbors
181,not found,2014,10,14,21,Leonard Circle
182,not found,2013,12,06,05,Kimberly Crossroad
183,not found,2022,02,12,04,Megan Stream
184,not found,2001,10,18,06,Wilson Extensions
185,not found,2001,11,22,09,Erica Parkway
186,not found,2023,05,09,13,James Burg
187,found,2023,09,04,09,David Islands
188,not found,2002,03,14,08,Schneider Drives
189,not found,2001,11,24,01,Kline Inlet
190,found,2005,10,21,08,Tyler Crossing
191,not found,2000,04,16,10,Valencia Garden
192,found,2024,03,27,04,Huff Underpass
193,not found,2005,12,11,09,Angela Centers
194,found,2023,05,01,09,Matthews Locks
195,found,2002,09,08,11,Jason Shore
196,pending,2019,09,03,13,David Mount
197,not found,2012,06,27,00,Thomas Stravenue
198,found,2002,06,01,19,Barrera Gateway
199,not found,2007,04,21,19,Oconnell Village
200,not found,2003,04,13,02,Shannon Camp
201,found,1999,01,04,21,Joshua Viaduct
202,pending,2020,01,23,10,Karen Meadow
203,found,2011,01,13,15,Drake Streets
204,found,2003,05,31,21,Caroline Ville
205,pending,1995,09,21,15,Barry Skyway
206,found,2023,07,19,18,James Ridges
207,found,2024,03,14,15,Roberts Orchard
208,found,2013,04,23,04,Shannon Manor
209,not found,1997,10,20,13,Crystal Walk
210,not found,2001,07,18,16,Thompson Crossroad
211,not found,2005,08,09,10,Hodges Cliffs
212,not found,2002,01,18,16,Casey Mill
213,found,2022,10,18,10,Angela Fall
214,found,2009,07,03,22,Jessica Glen
215,found,2006,06,21,14,Bell Squares
216,not found,2023,08,26,22,Frank Ways
217,pending,2019,03,17,00,Jo Corners
218,found,2000,12,26,14,Hamilton Ports
219,not found,2003,12,15,02,Irwin Walks
220,found,2000,03,19,09,Shaw Prairie
221,found,1997,02,23,02,Timothy Inlet
222,found,2011,08,17,20,Lopez Drive
223,not found,2004,05,10,20,Barker Union
224,not found,1999,01,31,18,Christina Plains
225,found,1994,08,24,20,Stacy Junction
226,pending,2021,07,28,18,Joseph Vista
227,not found,2024,03,02,18,Hartman Parkways
228,not found,2014,07,12,13,Jessica Coves
229,not found,2022,10,17,02,Paul Locks
230,not found,1998,03,25,08,Bell Flats
231,found,2010,10,11,01,Marshall Roads
232,not found,1996,07,05,23,Ewing Plain
233,not found,2007,06,18,11,Christopher Manors
234,pending,2022,01,09,17,Jill Springs
235,pending,2009,12,07,03,Kelly Haven
236,found,2012,02,19,14,Rodriguez Bridge
237,found,2010,08,10,23,Samantha Light
238,found,2013,02,15,07,Blackwell Roads
239,pending,2017,04,15,19,Fitzpatrick Haven
240,not found,2014,06,09,12,Griffin Lock
241,not found,2016,08,07,06,Oneill Lakes
242,not found,2017,02,16,09,Jennifer Mission
243,found,2011,09,29,03,Lauren Forge
244,found,2009,02,13,11,John Courts
245,not found,2009,11,26,02,Pearson Wall
246,found,2006,04,20,02,Susan Manors
247,not found,2021,06,03,21,Reynolds Path
248,not found,2011,09,11,06,Cruz Prairie
249,found,2002,01,14,07,David Brooks
250,not found,2021,05,08,18,Charles Vista
251,found,2002,08,06,01,Gerald Unions
252,not found,2023,01,29,22,Carter Locks
253,found,1995,09,01,21,Michael Spur
254,found,1999,07,24,12,Parsons Tunnel
255,not found,2001,01,24,14,Christine Circle
256,not found,2007,02,17,12,Samantha Track
257,pending,2000,01,28,07,Payne Harbor
258,not found,2022,02,05,08,Belinda Trafficway
259,pending,2006,05,21,20,Henson Fall
260,pending,2001,05,16,04,Chloe Neck
261,found,2016,12,07,17,Bruce Trace
262,found,1996,07,21,21,April Loaf
263,found,2007,02,20,08,Stacey Crossing
264,found,2004,06,29,02,Wiggins Spurs
265,found,2012,12,06,14,David Unions
266,pending,2005,08,02,01,John Meadow
267,found,2002,05,07,22,Donna Prairie
268,not found,2017,10,31,01,Tiffany Vista
269,found,2017,06,25,17,Ronald Field
270,found,1998,02,15,02,Mendez Rue
271,found,2007,07,05,01,Wilson Forges
272,pending,1995,08,22,11,Mccall Views
273,found,2016,02,01,00,Jordan Groves
274,found,2008,08,16,19,Terri Pine
275,pending,2016,01,10,10,Frazier Keys
276,found,2019,12,26,01,Tucker Mews
277,found,2019,05,12,22,Cunningham Greens
278,pending,2003,09,10,05,Nichols Rest
279,found,2000,10,02,15,Amanda Via
280,found,2013,09,29,23,Scott Estates
281,found,2005,04,18,19,Stewart Canyon
282,pending,2018,09,22,13,Kendra Knoll
283,not found,2001,09,02,20,Evans Flat
284,found,2015,08,11,19,Hernandez Ramp
285,pending,2010,09,25,04,Copeland Estates
286,not found,1994,10,17,06,Riley Corners
287,found,2022,04,23,10,Morton Club
288,not found,2019,03,07,22,Berger Glen
289,not found,2015,06,20,14,Richard Forest
290,pending,2006,03,22,05,Brooke Unions
291,not found,1994,08,05,22,Derek Via
292,not found,1996,08,13,11,Shepherd Viaduct
293,pending,1996,12,01,11,Bell Village
294,found,2014,11,27,10,Samantha Garden
295,not found,2006,09,03,21,Gonzalez Summit
296,not found,1997,08,16,11,Christopher Neck
297,found,2015,08,03,19,Hester Forks
298,not found,2023,04,26,00,Hurst Plains
299,not found,2021,11,18,01,Matthew Estates
300,not found,1999,02,23,01,Curtis Passage
301,not found,2003,07,14,06,Aaron Lights
302,found,2014,05,24,20,Walker Bypass
303,found,2000,11,25,22,Veronica Alley
304,found,2011,12,25,11,Crystal Mills
305,pending,1994,12,28,17,Rodriguez Bypass
306,found,2022,03,21,19,Tanya Parkway
307,found,2022,02,24,11,Hamilton Way
308,pending,2016,05,18,23,Campbell Circles
309,found,1997,08,10,02,Katherine Haven
310,not found,1997,04,17,19,William Meadows
311,found,2012,11,29,12,Anthony Glens
312,found,2021,01,08,17,Kirk Course
313,found,2014,05,01,14,Schmidt Common
314,not found,1995,07,15,07,Kevin Mills
315,not found,2020,06,28,06,Anthony Meadow
316,pending,2008,05,28,23,Robert Causeway
317,found,2008,03,09,08,Stephanie Lakes
318,pending,2014,12,06,21,Johnson Trail
319,pending,1996,06,06,00,Mary Track
320,pending,2016,05,19,04,Willie Courts
321,pending,2005,06,25,14,Nguyen Center
322,not found,1996,12,05,08,Antonio Burg
323,not found,2015,01,28,21,Young River
324,found,2017,07,08,21,Perez Ports
325,not found,2000,06,08,18,Watson Stravenue
326,found,2000,09,22,17,Lindsey Brooks
327,not found,2003,03,28,15,Elizabeth Estate
328,found,1998,06,03,10,Larry Parkways
329,not found,2014,03,08,07,Baker Plaza
330,found,2018,04,29,22,William Pass
331,found,2011,04,20,14,Aaron Grove
332,not found,1997,01,14,16,Roth Cove
333,found,2015,09,02,10,Sara Coves
334,found,2004,01,24,04,Justin Squares
335,found,1997,09,07,00,Timothy Shore
336,pending,2000,07,29,14,Duke Common
337,found,2008,02,01,20,Steven Glens
338,pending,2014,06,19,08,Cheyenne Gateway
339,found,2007,07,16,11,Bell Crossing
340,not found,2008,08,04,02,Kimberly Landing
341,pending,2022,06,22,07,Jeffrey Plaza
342,found,1996,04,26,11,Amanda Lane
343,not found,2000,12,10,05,Mcclure Squares
344,pending,2020,10,19,22,Renee Spur
345,found,2015,08,16,17,Kevin Isle
346,pending,2006,11,06,09,Dillon Meadows
347,not found,2016,03,12,23,Weiss Lights
348,found,2012,10,20,08,Alexander River
349,not found,1999,05,23,02,Bass Ridges
350,found,2005,12,31,10,Bell Place
351,not found,2008,06,08,00,Larry Port
352,found,2022,01,03,15,Angela Field
353,found,2004,12,04,22,Wendy Via
354,not found,2009,12,26,09,Ward Centers
355,not found,2003,01,05,12,Eddie Flats
356,pending,2016,02,20,15,Hampton Island
357,found,2001,10,31,22,Smith Gardens
358,not found,2003,07,08,17,Garcia Key
359,pending,2000,07,13,21,Sharon Camp
360,not found,2010,07,31,22,David Streets
361,pending,2003,04,24,11,Rogers Village
362,found,2004,06,20,08,Dunn Throughway
363,found,2001,08,04,16,Ruth Villages
364,pending,2003,03,31,05,Johnson Rapids
365,found,2009,06,12,05,Mccormick Courts
366,pending,2009,01,11,23,Douglas Junction
367,found,2020,10,06,15,John Curve
368,pending,2020,07,09,01,Luis Port
369,found,2016,10,21,11,Hoffman Garden
370,found,2004,02,07,01,Herring Mews
371,found,1999,05,14,15,Robert Roads
372,found,1998,04,20,12,Morgan Club
373,not found,1995,05,26,18,Hannah Row
374,not found,2018,09,29,21,Margaret Curve
375,pending,2003,12,21,23,Joseph Springs
376,not found,2003,04,16,19,Hickman Trafficway
377,pending,2011,01,02,01,Rebecca Avenue
378,not found,2002,04,30,05,Joel Streets
379,not found,2024,03,17,08,Alan Ville
380,found,2014,08,20,09,Martinez Green
381,found,2016,09,23,03,Williams Lodge
382,pending,2023,02,17,02,Kim Harbor
383,pending,2002,04,09,12,Anthony Meadows
384,found,1998,05,09,02,Jerry Trail
385,pending,2006,05,22,11,Dorothy Walks
386,found,2017,01,01,21,Spencer Port
387,pending,2020,05,17,11,Danielle Gateway
388,pending,2018,01,19,21,Randall Lock
389,not found,2012,03,16,19,Brown Junctions
390,not found,2021,02,16,08,Christine Harbors
391,not found,2009,08,11,13,Audrey Fall
392,not found,2008,08,14,00,Stacey Rest
393,not found,2010,04,18,15,Weaver Terrace
394,not found,2007,06,01,20,Kevin Valley
395,found,1996,06,04,14,Melissa Tunnel
396,found,2019,03,19,21,Franklin Path
397,found,2020,10,23,07,Jonathan Tunnel
398,found,1999,03,09,20,Davis Fords
399,not found,2021,12,19,18,Maria Bridge
400,found,2021,06,17,10,Jacob Ways
401,found,2011,06,20,14,Troy Tunnel
402,not found,2004,04,04,00,Angel Divide
403,found,2001,05,31,06,David Circle
404,not found,2019,09,02,14,Jeanne Rapids
405,found,2004,12,20,03,Chelsea Lakes
406,not found,2010,07,02,05,Brown Gateway
407,found,2022,01,26,07,Wu Shoal
408,not found,2020,08,26,19,Vargas Brooks
409,found,2001,03,16,00,Cabrera Meadows
410,pending,2012,07,27,20,West Shoals
411,not found,2018,12,12,16,Foster Falls
412,found,2006,10,07,17,Snyder Crossroad
413,found,2008,10,03,10,Mckenzie Ports
414,found,2003,10,27,18,Kristen Row
415,found,2005,07,19,17,Garza Knoll
416,found,1996,10,08,20,Teresa Coves
417,found,2023,07,26,09,Mary Plains
418,not found,1997,05,15,05,Clark Terrace
419,found,2023,09,07,05,Young Heights
420,found,2009,02,07,04,Mcdowell Forges
421,pending,2023,03,25,18,Goodwin Route
422,found,2022,12,11,04,Renee Meadows
423,found,1997,06,24,12,Li Port
424,not found,2016,05,04,14,Jones Causeway
425,pending,2013,12,13,21,Kaiser Summit
426,pending,2011,06,06,22,Roberts Cape
427,not found,2009,08,05,11,Ricky Knoll
428,found,2008,04,04,06,Sweeney Drives
429,not found,1998,01,07,01,Lori Extension
430,found,2001,09,18,06,Pedro Mountains
431,found,2004,09,25,08,Pamela Summit
432,found,2024,05,19,13,Emily Drive
433,found,2012,08,20,20,Porter Gardens
434,found,2004,05,15,09,Wong Shoals
435,found,2009,10,24,01,Dylan Loop
436,not found,2016,03,08,14,Mackenzie Flats
437,found,2005,10,21,17,Diaz Ford
438,found,2004,11,24,10,James Alley
439,found,2011,12,29,07,James Crossroad
440,not found,2003,08,11,19,Rose Island
441,pending,1999,02,09,15,Daryl Vista
442,not found,1995,12,13,05,Austin Vista
443,found,2011,06,24,20,Kevin Vista
444,found,2002,07,06,01,Williams Isle
445,not found,2008,03,19,21,Gay Shores
446,not found,1997,01,27,22,Thompson Walks
447,found,2001,06,05,03,Short Station
448,found,2013,09,02,18,Hall Locks
449,pending,2015,01,26,06,Douglas Loaf
450,not found,2008,10,05,04,Morse Stream
451,found,2017,05,12,00,Jeffrey Keys
452,found,2020,04,11,18,Nathan Coves
453,pending,2001,12,03,19,William Course
454,found,2000,12,19,10,Schultz Knoll
455,found,2003,11,02,11,Walsh Road
456,found,2009,05,24,03,Harrison Inlet
457,pending,2015,06,22,19,Javier Shore
458,found,2015,01,27,09,Christopher Neck
459,found,2018,12,19,11,Lopez Glens
460,found,2013,08,21,23,Roberts Rapids
461,found,2006,03,22,03,Robin Dam
462,found,2003,06,12,22,Karen Union
463,not found,2022,01,05,07,Erin Valley
464,found,1998,01,03,14,Michelle Green
465,not found,2020,12,06,14,Donna Viaduct
466,not found,2006,12,30,06,Richard Pine
467,found,1997,02,01,08,Johnson Junction
468,pending,2018,08,23,05,Lauren Circles
469,pending,2007,04,12,10,Margaret Shoals
470,not found,2020,06,23,05,Heidi Meadows
471,found,1995,09,21,07,Lindsay Crescent
472,found,2015,05,17,15,Johnson Bridge
473,pending,2012,02,09,00,Jeffrey Village
474,pending,2010,12,13,12,Bernard Heights
475,found,2011,06,14,04,Dalton Village
476,found,2013,01,10,20,Obrien Lock
477,found,2008,12,21,17,David Club
478,found,2006,02,02,21,Davis Junction
479,pending,1998,12,03,22,Sandra Divide
480,pending,2006,01,01,16,Michael Rue
481,found,2002,05,09,00,Michael Lodge
482,pending,1998,03,02,06,Philip Road
483,found,2006,04,19,20,Erin Skyway
484,not found,2020,02,29,04,Cummings Cliff
485,found,1998,04,10,19,Lane Gateway
486,not found,2001,11,09,00,Walker Port
487,found,1999,12,19,04,Alex Parkways
488,not found,2007,01,07,03,Gibson Square
489,pending,1996,07,29,15,Charles Drive
490,not found,2012,05,15,14,Beth Stream
491,found,2001,01,20,17,Carl Street
492,found,2008,12,07,19,Hughes Freeway
493,pending,2019,01,22,04,Charles Freeway
494,pending,2016,10,01,10,Harris Ford
495,not found,1999,04,11,22,Mark Drive
496,found,1995,05,25,17,Sarah Run
497,found,2004,10,20,19,Cynthia Lodge
498,pending,2011,12,27,03,Allen Inlet
499,found,2000,02,13,10,Shaw Common
500,pending,2009,12,10,18,Molly Shoals
501,found,2006,07,25,17,Perez Ways
502,not found,2003,10,22,22,Courtney Court
503,pending,2002,06,10,07,Julian Heights
504,not found,2001,06,17,23,Alexa Manors
505,not found,1999,01,08,11,Jones Union
506,found,2015,03,01,20,Thomas Ford
507,not found,2000,08,09,22,Lacey Camp
508,found,1998,11,11,11,Lisa Groves
509,found,2020,11,23,18,Roberson Court
510,pending,1999,01,19,06,Michael Pine
511,pending,2000,12,30,10,Elizabeth Flat
512,pending,2003,10,02,13,Edwards Skyway
513,not found,2011,02,11,19,Cervantes Manor
514,found,1994,10,13,23,Isabella Mount
515,found,1995,03,23,13,Jones Cape
516,not found,2016,12,14,23,Donald Mission
517,not found,1994,10,07,05,Ferguson Mill
518,found,2022,04,17,17,Hendricks Mall
519,found,2010,09,26,06,Jill Shoals
520,not found,2008,08,29,14,Brown Courts
521,not found,1998,02,21,06,Kelsey Circle
522,found,2008,02,02,09,Joshua Parks
523,pending,2023,04,18,02,Brooks Islands
524,pending,2023,03,15,14,Karen Circle
525,not found,2017,09,07,04,Peter Views
526,pending,2019,11,12,20,Scott Plains
527,pending,2013,08,12,03,Salas Spur
528,found,2014,04,28,17,Hancock Dam
529,found,2004,02,19,07,Meyer Points
530,not found,2020,09,08,05,Meyer Squares
531,not found,2015,04,19,16,Deleon Club
532,pending,1994,11,24,15,Robert View
533,pending,2020,08,17,05,Hoffman Bridge
534,found,1995,06,17,19,Kim Lock
535,not found,2008,05,22,10,David Trail
536,found,2006,05,31,10,Berry Summit
537,pending,1999,07,04,21,Anderson Route
538,found,2019,08,09,08,Noah Overpass
539,not found,1997,10,16,10,Glenn Village
540,not found,2022,02,01,06,Donald Common
541,not found,2022,02,18,04,Mary Harbors
542,found,2022,08,28,00,Tracy Haven
543,found,2021,02,16,08,Peter Key
544,found,2006,09,04,08,Andrea Land
545,found,2013,12,31,13,Clements Shoals
546,not found,2020,12,17,05,Renee Club
547,pending,2002,02,16,01,Julia Common
548,not found,1995,12,22,00,Jones Rapids
549,found,1995,07,12,05,Brown Wells
550,found,2018,03,28,12,Brown Mall
551,found,2008,03,24,08,Richard Lock
552,pending,2017,06,13,17,Danny Canyon
553,found,2011,02,16,17,Christy Key
554,found,2007,06,28,17,Ray Avenue
555,found,2018,04,26,00,Joseph Fort
556,not found,1999,06,04,02,Valerie Meadow
557,found,2009,11,01,08,Dana Haven
558,found,2014,01,22,21,Jonathan Flat
559,pending,2011,01,19,06,Wilson Dam
560,pending,2006,06,13,17,Lindsey Fall
561,not found,1999,05,09,12,Ross Rest
562,found,2008,08,11,07,Bond Radial
563,pending,1999,02,08,23,Morgan Parkways
564,pending,2017,11,09,16,Baker Shore
565,found,2010,11,17,01,Boyer Passage
566,found,2016,11,02,17,Black Wall
567,not found,2002,07,08,16,Tabitha Bypass
568,found,2023,07,10,00,Clark Fords
569,found,2003,01,03,14,Sheila Landing
570,found,2019,04,06,17,Blair Glens
571,not found,1994,08,24,10,Kelsey Plaza
572,found,1997,11,12,06,Marc Place
573,not found,2019,03,01,13,Sweeney Prairie
574,found,1995,07,24,07,Marc Turnpike
575,found,1995,09,24,08,Richardson Ramp
576,not found,2015,12,13,17,Peter Drives
577,found,2005,10,01,02,Rose Plaza
578,found,2020,01,08,06,Buchanan Causeway
579,not found,2014,02,07,01,Nielsen Meadows
580,not found,2004,07,29,18,Soto Inlet
581,not found,2020,11,01,08,Jones Views
582,not found,2007,09,10,23,Kristy Brook
583,found,2006,05,03,05,Rose Key
584,found,2021,12,09,22,Aaron Ford
585,found,2003,09,15,01,Rebecca Island
586,found,2020,07,31,03,Joshua Meadow
587,pending,1997,09,29,21,Mitchell Pines
588,found,2008,08,05,21,Jeanette Square
589,found,1999,08,16,15,Cristina Walks
590,found,2016,06,07,00,Stephanie Points
591,pending,2002,08,18,05,Richard Ranch
592,not found,2003,12,03,08,Christopher Center
593,found,2009,02,17,16,Perkins Hollow
594,not found,2008,05,21,16,Campbell Ports
595,found,2001,11,12,09,Johnson Rue
596,pending,2021,11,17,09,Hayley Cliff
597,found,2022,04,02,01,Mccall Estate
598,pending,2001,09,15,08,John Brook
599,found,1997,11,10,00,Salazar Flat
600,pending,1995,10,04,00,Michael Neck
601,pending,2009,01,22,13,Rogers Isle
602,found,2012,05,23,12,Adams Fords
603,found,2016,03,20,12,Murphy Mills
604,found,2001,05,28,00,Cameron Port
605,found,2022,03,13,11,Tony Place
606,found,2011,11,14,01,Jensen Neck
607,not found,1999,03,03,00,Samuel Views
608,not found,2022,05,10,20,Smith Mountains
609,not found,1997,11,24,03,Butler Burgs
610,found,1999,03,08,13,Kristie Underpass
611,not found,2005,08,17,21,Jason Fort
612,not found,2005,09,13,15,Vargas Viaduct
613,found,2002,03,07,16,Rodriguez Ford
614,pending,2006,04,27,17,Vanessa Island
615,pending,2021,11,20,18,Brian Roads
616,found,2016,05,20,21,Gomez Walks
617,pending,2012,03,29,02,Ashley Route
618,found,2021,04,07,06,Benjamin Flats
619,pending,2003,06,28,22,Anthony River
620,found,2009,10,08,08,Michael Drive
621,found,2013,05,28,23,Eugene Ranch
622,not found,2016,07,27,22,Lee Field
623,not found,2011,07,22,00,Salazar Pines
624,found,1998,11,26,05,Charles Ford
625,not found,2020,10,03,23,Curry Club
626,found,2002,02,16,11,James Way
627,found,2007,11,27,05,Brown Mills
628,pending,1997,07,13,23,Freeman Neck
629,found,1998,12,26,20,Ann Shoal
630,not found,2004,11,03,08,Burton Village
631,not found,2015,05,13,01,Daniel Cove
632,pending,2004,03,14,17,Brown Branch
633,pending,2011,02,12,06,Douglas Forge
634,not found,2010,09,19,02,Beverly Tunnel
635,not found,2010,04,03,22,Bruce Meadows
636,found,2018,10,25,17,Salas Burgs
637,pending,1998,06,13,22,Joan Flats
638,found,2010,03,13,05,Robert Dam
639,pending,2004,05,15,05,Moore Forge
640,found,2000,01,09,23,Nguyen Valleys
641,found,2009,07,13,17,Johnson Street
642,found,2007,06,18,11,Nicholas Gateway
643,found,1995,02,24,15,Thomas Estate
644,found,2018,06,23,12,Campbell Extension
645,found,2013,05,29,02,Escobar Flat
646,found,2010,07,20,10,King Turnpike
647,found,1999,01,29,08,Miller Cove
648,not found,1998,06,10,12,Derek Street
649,not found,2023,07,27,00,Vargas Parks
650,found,2023,07,04,07,Wilcox Junction
651,not found,2023,08,16,18,Amanda Street
652,not found,1999,08,22,01,Erin Corners
653,pending,2023,04,25,04,Michael Forges
