(30, 'pending', 2024, 3, 27, 16, 'Danforth Village')
(89, 'found', 2010, 2, 9, 12, 'Leslieville')
(43, 'found', 2010, 7, 6, 0, 'Rosedale')
(65, 'not found', 2010, 7, 5, 11, 'Queen West')
(32, 'found', 2009, 10, 30, 6, 'The Beaches')
(77, 'found', 2009, 7, 4, 22, 'Bloor West Village')
(3, 'not found', 2008, 6, 26, 16, 'Chinatown')
(15, 'not found', 2008, 8, 20, 14, 'High Park')
(18, 'found', 2008, 1, 19, 9, 'Queen West')
(55, 'not found', 2007, 8, 23, 12, 'High Park')
(78, 'pending', 2007, 2, 15, 8, 'Roncesvalles')
(76, 'not found', 2007, 10, 4, 22, 'Little Italy')
(49, 'not found', 2007, 11, 1, 13, 'Rosedale')
(17, 'found', 2006, 9, 29, 16, 'Rosedale')
(57, 'pending', 2006, 2, 21, 4, 'Little Italy')
(62, 'not found', 2006, 7, 19, 20, 'The Beaches')
(1, 'pending', 2006, 10, 9, 19, 'Parkdale')
(85, 'not found', 2005, 8, 30, 16, 'High Park')
(6, 'found', 2005, 7, 30, 15, 'Bloor West Village')
(12, 'found', 2005, 5, 28, 21, 'The Annex')
(90, 'found', 2005, 4, 27, 3, 'Chinatown')
(0, 'not found', 2004, 12, 8, 19, 'Kensington Market')
(84, 'not found', 2003, 1, 6, 1, 'Roncesvalles')
(9, 'found', 2003, 12, 5, 1, 'Church and Wellesley')
(70, 'pending', 2003, 4, 2, 3, 'Parkdale')
(97, 'not found', 2002, 2, 7, 16, 'Kensington Market')
(63, 'found', 2000, 7, 31, 3, 'Yorkville')
(58, 'not found', 2000, 11, 21, 11, 'Kensington Market')
(81, 'found', 2000, 11, 16, 5, 'Distillery District')
(99, 'found', 2000, 3, 2, 19, 'Little Italy')
(98, 'found', 1999, 2, 26, 6, 'Roncesvalles')
(46, 'found', 1999, 3, 23, 1, 'Roncesvalles')
(53, 'not found', 1998, 10, 15, 14, 'Church and Wellesley')
(64, 'found', 1998, 4, 13, 22, 'Distillery District')
(68, 'found', 1998, 1, 7, 13, 'Danforth Village')
(91, 'pending', 1998, 7, 6, 4, 'Kensington Market')
(14, 'found', 1998, 3, 4, 8, 'Parkdale')
(41, 'not found', 1998, 8, 3, 15, 'Scarborough Bluffs')
(54, 'found', 1997, 7, 11, 1, 'Church and Wellesley')
(45, 'found', 1997, 3, 3, 15, 'The Beaches')
(20, 'found', 1996, 11, 23, 4, 'Kensington Market')
(25, 'found', 1996, 5, 23, 3, 'Bloor West Village')
(44, 'not found', 1996, 7, 21, 14, 'Leslieville')
(23, 'pending', 1995, 12, 31, 0, 'Chinatown')
(60, 'pending', 1995, 3, 27, 17, 'Liberty Village')
(72, 'found', 1995, 2, 15, 6, 'Chinatown')
(83, 'found', 1995, 2, 8, 20, 'Cabbagetown')
(59, 'found', 1995, 5, 5, 1, 'Bloor West Village')
(26, 'not found', 1994, 11, 21, 21, 'Danforth Village')
(34, 'found', 1994, 11, 15, 0, 'Scarborough Bluffs')
(8, 'found', 1994, 11, 14, 12, 'Distillery District')
(37, 'not found', 1994, 9, 10, 1, 'Church and Wellesley')
(2, 'pending', 1994, 9, 7, 15, 'Leslieville')

